reports_univ,school_candidate,similarity_score
Muenster University of Applied Sciences,The Hague University of Applied Sciences,89
"University of California, Berkeley","University of California, Davis",89
"University of California, Davis","University of California, Berkeley",89
University of Malaga,University of Alabama,88
Hochschule Kaiserslautern (University of Applied Sciences),Tampere University of Applied Sciences,88
Universidad de Jaén,Universidad de Leon,88
Tampere University of Applied Sciences,The Hague University of Applied Sciences,88
European University of Applied Sciences,Tampere University of Applied Sciences,88
European University of Applied Sciences,Savonia University of Applied Sciences,88
Hochschule Kaiserslautern (University of Applied Sciences),Savonia University of Applied Sciences,88
Fachhochschule Münster University of Applied Sciences,Savonia University of Applied Sciences,88
Tampere University of Applied Sciences,Kaiserslautern University of Applied Sciences,88
FH Aachen University of Applied Sciences,Savonia University of Applied Sciences,88
Athens University of Economics and Business,Japan University of Economics,88
Helsinki Metropolia University of Applied Sciences,Tampere University of Applied Sciences,88
Fachhochschule Münster University of Applied Sciences,Tampere University of Applied Sciences,88
Helsinki Metropolia University of Applied Sciences,Savonia University of Applied Sciences,88
Vorarlberg University of Applied Sciences,Savonia University of Applied Sciences,88
FH Aachen University of Applied Sciences,Tampere University of Applied Sciences,88
Japan University of Economics,Athens University of Economics and Business,88
Florida State University,Emporia State University,88
Regensburg University of Applied Sciences,Savonia University of Applied Sciences,88
Hof Applied Science University,Worms University of Applied Sciences,88
Japan University of Economics,Rostov State University of Economics,88
Regensburg University of Applied Sciences,Tampere University of Applied Sciences,88
Muenster University of Applied Sciences,Tampere University of Applied Sciences,88
Vorarlberg University of Applied Sciences,Tampere University of Applied Sciences,88
Universidad de Jaén,Universidad de Mendoza,88
Furtwangen University of Applied Sciences,Savonia University of Applied Sciences,88
University of Economics in Katowice,Japan University of Economics,88
Furtwangen University of Applied Sciences,Tampere University of Applied Sciences,88
Regensburg University of Applied Sciences (OTH Regensburg),Savonia University of Applied Sciences,88
Japan University of Economics,University of Economics in Katowice,88
Regensburg University of Applied Sciences (OTH Regensburg),Tampere University of Applied Sciences,88
Aachen University of Applied Science,Saxion University of Applied Sciences,88
Muenster University of Applied Sciences,Savonia University of Applied Sciences,88
FH Aachen University of Applied Sciences,The Hague University of Applied Sciences,88
Xi'an International Studies University (西安外国语大学),Kanda University of International Studies,88
Dresden University of Applied Sciences,Helsinki Metropolia University of Applied Sciences,88
FHWien der wkw university of applied sciences,Savonia University of Applied Sciences,88
Dresden University of Applied Sciences,Savonia University of Applied Sciences,88
Dresden University of Applied Sciences,Vorarlberg University of Applied Sciences,88
FHWien der wkw university of applied sciences,Tampere University of Applied Sciences,88
Tampere University of Applied Sciences,Vorarlberg University of Applied Sciences,88
"Beijing University of Posts and Telecommunications, 중국 Donghua University",Donghua University (东华大学),88
Hochschule Augsburg University of Applied Sciences,Tampere University of Applied Sciences,88
Hochschule Augsburg University of Applied Sciences,Savonia University of Applied Sciences,88
Hanze University of Applied Sciences Groningen,Tampere University of Applied Sciences,88
Hanze University of Applied Sciences Groningen,Savonia University of Applied Sciences,88
Dresden University of Applied Sciences,Kaiserslautern University of Applied Sciences,88
Japan University of Economics,"Osaka University of Economics and Law
(大阪経済法科大学)",88
Tampere University of Applied Sciences,Savonia University of Applied Sciences,88
Tampere University of Applied Sciences,Helsinki Metropolia University of Applied Sciences,88
The Hague University of Applied Sciences,Tampere University of Applied Sciences,88
The Hague University of Applied Sciences,Savonia University of Applied Sciences,88
Dresden University of Applied Sciences,The Hague University of Applied Sciences,88
Kaiserslautern University of Applied Sciences,Savonia University of Applied Sciences,88
